question,option_a,option_b,option_c,option_d,correct_answer
What is 1 + 1?,2,3,4,5,A
What color is the sky?,Blue,Red,Green,Yellow,A
How many legs does a dog have?,2,3,4,5,C
What do cows drink?,Water,Milk,Juice,Soda,A
What is the color of grass?,Green,Blue,Red,Yellow,A
How many fingers do you have on one hand?,3,4,5,6,B
What animal says 'meow'?,Cat,Dog,Cow,Sheep,A
What is 5 - 2?,2,3,4,5,B
What do bees make?,Honey,Milk,Juice,Soda,A
What is the opposite of hot?,Cold,Warm,Big,Small,A
How many wheels does a bicycle have?,1,2,3,4,B
What do you use to write?,Pen,Pencil,Book,Table,A
What is the color of the sun?,Yellow,Blue,Red,Green,A
What is 3 + 3?,5,6,7,8,B
What do frogs say?,Ribbit,Woof,Meow,Moo,A
What is the color of snow?,White,Black,Blue,Red,A
How many eyes do you have?,1,2,3,4,B
What do birds have?,Wings,Legs,Tails,All of the above,D
What is 10 - 5?,3,4,5,6,C
What do you wear on your feet?,Shoes,Hat,Gloves,Socks,A
